City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,57.81,67,75,6.91,broken clouds
1,Gardiner,US,44.2301,-69.7753,53.08,73,1,0.0,clear sky
2,Nanortalik,GL,60.1432,-45.2371,35.87,69,34,5.79,scattered clouds
3,Ribeira Grande,PT,38.5167,-28.7,67.32,68,21,13.13,few clouds
4,Kizukuri,JP,40.8061,140.3861,50.95,72,97,8.1,overcast clouds
5,Puerto Palomas,MX,31.7667,-107.6167,79.93,16,1,23.31,clear sky
6,Cherskiy,RU,68.75,161.3,-5.33,100,97,3.02,overcast clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,0,20.71,clear sky
8,Kununurra,AU,-15.7667,128.7333,76.98,94,2,5.75,clear sky
9,Te Anau,NZ,-45.4167,167.7167,51.08,95,100,0.45,light rain
10,Qaanaaq,GL,77.484,-69.3632,-1.44,58,0,8.63,clear sky
11,Richards Bay,ZA,-28.783,32.0377,69.6,68,87,20.49,overcast clouds
12,Vaini,TO,-21.2,-175.2,77.16,61,20,19.57,few clouds
13,Ushuaia,AR,-54.8,-68.3,33.46,93,75,29.93,heavy snow
14,Maragogi,BR,-9.0122,-35.2225,79.11,80,29,11.3,scattered clouds
15,Hithadhoo,MV,-0.6,73.0833,82.31,74,60,12.88,broken clouds
16,East London,ZA,-33.0153,27.9116,61.38,64,62,19.69,broken clouds
17,San Patricio,US,28.017,-97.5169,88.52,53,14,15.43,few clouds
18,Albany,US,42.6001,-73.9662,52.27,61,96,7.18,overcast clouds
19,Olavarria,AR,-36.8927,-60.3225,63.01,48,54,16.33,broken clouds
20,Amravati,IN,20.9333,77.75,68.23,66,38,2.53,scattered clouds
21,Yellowknife,CA,62.456,-114.3525,43.32,79,20,21.85,few clouds
22,Acajutla,SV,13.5928,-89.8275,95.34,76,75,5.1,broken clouds
23,Tual,ID,-5.6667,132.75,83.73,75,94,14.41,overcast clouds
24,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,40,16.11,scattered clouds
25,Hendaye,FR,43.3717,-1.7738,54.19,91,0,3.44,clear sky
26,Chokurdakh,RU,70.6333,147.9167,-2.0,98,100,6.38,overcast clouds
27,Sungairaya,ID,0.7,108.9,76.42,87,71,3.69,broken clouds
28,Rikitea,PF,-23.1203,-134.9692,74.88,82,97,20.09,overcast clouds
29,Carnarvon,AU,-24.8667,113.6333,62.67,88,0,9.22,clear sky
30,Acapulco,MX,16.8634,-99.8901,75.02,88,90,16.11,overcast clouds
31,Husavik,IS,66.0449,-17.3389,37.31,97,100,3.6,overcast clouds
32,Kapaa,US,22.0752,-159.319,82.38,75,40,4.0,scattered clouds
33,Jaisalmer,IN,26.9147,70.9181,75.06,55,0,18.07,clear sky
34,Atambua,ID,-9.1061,124.8925,76.6,80,48,2.26,scattered clouds
35,Mahebourg,MU,-20.4081,57.7,75.49,83,75,12.66,broken clouds
36,Cape Town,ZA,-33.9258,18.4232,58.26,75,20,1.01,few clouds
37,Mataura,NZ,-46.1927,168.8643,52.52,94,100,0.65,overcast clouds
38,Paamiut,GL,61.994,-49.6678,32.5,53,85,17.29,overcast clouds
39,Pisco,PE,-13.7,-76.2167,66.25,72,0,25.32,clear sky
40,Sao Filipe,CV,14.8961,-24.4956,79.65,71,10,9.15,clear sky
41,San Angelo,US,31.4638,-100.437,88.65,42,1,8.99,clear sky
42,Guerrero Negro,MX,27.9769,-114.0611,70.9,63,1,19.73,clear sky
43,Ugep,NG,5.8086,8.0812,73.04,94,99,0.74,overcast clouds
44,Konskie,PL,51.1917,20.4061,42.24,89,18,9.19,few clouds
45,Whitefish,US,48.4111,-114.3376,51.55,53,20,12.66,few clouds
46,Castro,BR,-24.7911,-50.0119,64.4,69,93,4.09,moderate rain
47,Zhigansk,RU,66.7697,123.3711,21.92,95,100,13.2,overcast clouds
48,Torbay,CA,47.6666,-52.7314,59.77,94,90,11.5,light rain
49,Thompson,CA,55.7435,-97.8558,35.76,69,75,2.3,broken clouds
50,Souillac,MU,-20.5167,57.5167,75.58,83,75,12.66,broken clouds
51,New Norfolk,AU,-42.7826,147.0587,48.65,79,100,5.99,overcast clouds
52,Chotila,IN,22.4167,71.1833,74.43,71,0,8.95,clear sky
53,Bluff,NZ,-46.6,168.3333,51.53,95,100,2.66,overcast clouds
54,Moussoro,TD,13.6408,16.4901,88.63,19,3,12.21,clear sky
55,Bredasdorp,ZA,-34.5322,20.0403,54.72,82,45,4.61,scattered clouds
56,Calamar,CO,10.2511,-74.9146,85.95,83,96,7.0,overcast clouds
57,Gwanda,ZW,-20.9333,29.0,81.93,34,85,6.2,overcast clouds
58,Koumac,NC,-20.5667,164.2833,76.73,69,2,7.47,clear sky
59,Barrow,US,71.2906,-156.7887,28.42,86,90,13.8,light snow
60,Hermanus,ZA,-34.4187,19.2345,56.89,71,14,2.55,few clouds
61,Taksimo,RU,56.3444,114.8794,29.52,70,74,2.89,broken clouds
62,Padang,ID,-0.9492,100.3543,75.25,89,89,2.77,overcast clouds
63,Codrington,AU,-38.2667,141.9667,49.93,71,59,13.13,broken clouds
64,Port Hardy,CA,50.6996,-127.4199,53.78,66,40,6.91,scattered clouds
65,Provideniya,RU,64.3833,-173.3,24.48,77,100,8.34,overcast clouds
66,Faya,SA,18.3851,42.4509,59.52,27,2,4.56,clear sky
67,Busselton,AU,-33.65,115.3333,50.09,77,92,4.7,overcast clouds
68,Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,100,9.86,overcast clouds
69,Shenzhen,CN,22.5455,114.0683,70.14,83,100,7.2,light rain
70,Hasaki,JP,35.7333,140.8333,41.4,53,1,7.34,clear sky
71,Saskylakh,RU,71.9167,114.0833,7.74,94,100,15.9,light snow
72,Garowe,SO,8.4054,48.4845,74.75,73,4,14.32,clear sky
73,Yumen,CN,40.2833,97.2,39.36,38,100,7.56,overcast clouds
74,Lebu,CL,-37.6167,-73.65,53.53,80,20,9.28,few clouds
75,Brus Laguna,HN,15.75,-84.4833,83.17,76,87,6.08,overcast clouds
76,Port Augusta,AU,-32.5,137.7667,55.54,59,0,8.88,clear sky
77,Jamestown,US,42.097,-79.2353,46.51,97,90,3.0,light rain
78,Longyearbyen,SJ,78.2186,15.6401,21.04,79,20,8.05,few clouds
79,Lavrentiya,RU,65.5833,-171.0,23.83,85,100,9.93,overcast clouds
80,Butaritari,KI,3.0707,172.7902,81.16,74,100,8.63,overcast clouds
81,Bengbu,CN,32.9408,117.3608,53.53,72,79,3.18,light rain
82,Dikson,RU,73.5069,80.5464,8.22,88,98,12.41,overcast clouds
83,Lieksa,FI,63.3167,30.0167,27.39,89,100,6.58,overcast clouds
84,Camacari,BR,-12.6975,-38.3242,78.57,84,98,7.43,overcast clouds
85,Cap Malheureux,MU,-19.9842,57.6142,75.69,75,90,5.99,overcast clouds
86,Warora,IN,20.2333,79.0,67.95,67,14,2.82,few clouds
87,Along,IN,28.1667,94.7667,61.79,88,12,1.68,few clouds
88,Mnogovershinnyy,RU,53.9353,139.9242,34.77,82,76,14.97,broken clouds
89,Nikolskoye,RU,59.7035,30.7861,35.49,95,98,9.01,snow
90,Sringeri,IN,13.4167,75.25,70.7,98,96,1.32,overcast clouds
91,Gadung,PH,6.8025,124.02,78.78,74,98,3.6,overcast clouds
92,Aykhal,RU,66.0,111.5,24.21,92,100,22.88,overcast clouds
93,Port Hedland,AU,-20.3167,118.5667,71.65,40,93,3.44,overcast clouds
94,Zawiercie,PL,50.4877,19.4168,40.19,97,12,4.0,few clouds
95,Kaeo,NZ,-35.1,173.7833,63.32,98,100,3.02,overcast clouds
96,Aljezur,PT,37.3191,-8.8033,61.12,64,10,4.16,clear sky
97,Puteyets,RU,65.1716,57.091,25.43,91,18,8.7,few clouds
98,Jian,CN,27.1172,114.9793,56.77,85,100,4.25,light rain
99,Cabedelo,BR,-6.9811,-34.8339,81.27,77,53,13.82,broken clouds
100,Westport,US,41.1415,-73.3579,59.99,66,88,3.0,overcast clouds
101,Rognan,NO,67.0953,15.3878,32.88,75,95,8.46,overcast clouds
102,Upernavik,GL,72.7868,-56.1549,19.29,86,100,9.78,light snow
103,Fairbanks,US,64.8378,-147.7164,37.92,79,1,0.0,clear sky
104,Faanui,PF,-16.4833,-151.75,77.74,77,90,6.64,overcast clouds
105,Aklavik,CA,68.2191,-135.0107,30.92,80,75,4.61,broken clouds
106,Prince Rupert,CA,54.3161,-130.3201,47.89,76,93,19.57,overcast clouds
107,Linqu,CN,36.5156,118.5397,48.88,55,54,3.58,broken clouds
108,Hobart,AU,-42.8794,147.3294,49.01,91,75,3.0,light intensity shower rain
109,Vanimo,PG,-2.6741,141.3028,80.35,78,53,6.24,broken clouds
110,Nemuro,JP,43.3236,145.575,45.52,71,3,14.18,clear sky
111,Newport,GB,51.5877,-2.9984,55.94,72,97,17.83,overcast clouds
112,Pasni,PK,25.2631,63.471,78.17,29,0,11.01,clear sky
113,Sampit,ID,-2.5333,112.95,73.96,98,85,0.09,overcast clouds
114,Kodiak,US,57.79,-152.4072,44.11,76,90,13.8,heavy intensity rain
115,Laguna,US,38.421,-121.4238,66.6,61,90,1.99,overcast clouds
116,La Libertad,EC,-2.2333,-80.9,74.86,83,90,6.91,overcast clouds
117,Isangel,VU,-19.55,169.2667,80.71,78,75,9.22,broken clouds
118,Airai,TL,-8.9266,125.4092,63.0,68,28,2.19,scattered clouds
119,Ostrovnoy,RU,68.0531,39.5131,29.41,91,100,21.79,light snow
120,West Wendover,US,40.7391,-114.0733,47.41,71,90,5.75,overcast clouds
121,Saint-Augustin,CA,51.226,-58.6502,40.26,89,100,16.4,overcast clouds
122,Saurimo,AO,-9.6608,20.3916,66.15,93,70,1.92,light rain
123,Saint George,US,37.1041,-113.5841,75.94,23,1,1.01,clear sky
124,Sioux Lookout,CA,50.1001,-91.917,41.38,70,75,6.91,broken clouds
125,Aitape,PG,-3.1374,142.3475,81.03,78,88,6.06,overcast clouds
126,Verkhoyansk,RU,67.5447,133.385,4.42,96,100,2.51,overcast clouds
127,Akyab,MM,20.15,92.9,75.06,86,100,5.17,overcast clouds
128,Puerto Escondido,MX,15.85,-97.0667,83.23,61,75,5.75,broken clouds
129,Bagotville,AU,-28.9833,153.4167,80.42,69,36,11.79,scattered clouds
130,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,90,6.91,overcast clouds
131,Thurso,GB,58.5927,-3.5259,53.85,79,100,14.72,overcast clouds
132,Cabo San Lucas,MX,22.8909,-109.9124,92.52,61,20,17.27,few clouds
133,Baturite,BR,-4.3286,-38.8847,79.21,69,51,5.41,broken clouds
134,Talnakh,RU,69.4865,88.3972,20.82,95,98,6.42,overcast clouds
135,Tasiilaq,GL,65.6145,-37.6368,33.96,86,100,4.5,overcast clouds
136,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,83,7,18.59,clear sky
137,Svetlogorsk,BY,52.6333,29.7333,42.17,73,94,11.92,overcast clouds
138,Boca Raton,US,26.3587,-80.0831,84.24,78,75,1.99,broken clouds
139,Atuona,PF,-9.8,-139.0333,78.44,76,21,18.03,few clouds
140,Hami,CN,42.8,93.45,48.47,44,100,6.71,overcast clouds
141,Bujak,HU,47.8835,19.5438,44.08,69,0,5.23,clear sky
142,Aksarka,RU,66.5606,67.7975,29.01,83,94,12.46,overcast clouds
143,Dzaoudzi,YT,-12.7887,45.2699,78.69,83,0,3.44,clear sky
144,Ancud,CL,-41.8697,-73.8203,55.42,65,7,11.03,clear sky
145,Kamaishi,JP,39.2667,141.8833,48.65,72,4,5.57,clear sky
146,Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,77.45,85,98,3.0,light rain
147,Luderitz,NA,-26.6481,15.1594,57.67,74,0,17.78,clear sky
148,Tiksi,RU,71.6872,128.8694,1.24,96,100,8.5,overcast clouds
149,Rockford,US,42.2711,-89.094,57.0,38,20,3.44,few clouds
150,Andradas,BR,-22.0681,-46.5692,69.19,59,43,5.55,scattered clouds
151,Tuatapere,NZ,-46.1333,167.6833,52.93,95,100,0.89,light rain
152,Palestine,PS,31.9216,35.2033,62.35,83,0,4.68,clear sky
153,Rincon,US,32.296,-81.2354,80.85,53,1,3.44,clear sky
154,Mae Sai,TH,20.4335,99.8762,72.72,100,100,1.1,overcast clouds
155,Caucaia,BR,-3.7361,-38.6531,82.35,77,20,9.22,few clouds
156,Kaseda,JP,31.4167,130.3167,49.23,69,59,11.45,broken clouds
157,Bengkulu,ID,-3.8004,102.2655,75.52,88,51,3.2,broken clouds
158,Saint-Philippe,RE,-21.3585,55.7679,74.75,82,65,11.7,broken clouds
159,Kruisfontein,ZA,-34.0033,24.7314,56.14,60,72,13.71,broken clouds
160,Northam,GB,51.0333,-4.2167,56.39,78,100,19.57,overcast clouds
161,Baripada,IN,21.935,86.7214,70.43,64,20,4.94,few clouds
162,Am Timan,TD,11.0297,20.2827,76.6,73,47,6.8,scattered clouds
163,Coahuayana,MX,18.7333,-103.6833,89.08,68,98,3.74,overcast clouds
164,Sobolevo,RU,54.4299,31.8996,40.53,80,96,15.82,moderate rain
165,Sahbuz,AZ,39.4072,45.5739,42.4,42,1,0.87,clear sky
166,Victoria,HK,22.2855,114.1577,70.25,81,98,1.99,overcast clouds
167,Norden,DE,53.6,7.2,49.98,84,99,3.0,overcast clouds
168,Surt,LY,31.2089,16.5887,81.21,34,100,20.07,overcast clouds
169,La Macarena,CO,2.1837,-73.7849,81.93,75,55,5.73,broken clouds
170,Aswan,EG,24.0934,32.907,74.28,37,0,10.27,clear sky
171,Torrington,US,41.8007,-73.1212,57.42,64,60,3.51,broken clouds
172,Inta,RU,66.0317,60.1659,24.67,92,97,14.72,overcast clouds
173,Eenhana,NA,-17.4667,16.3333,78.55,15,9,9.26,clear sky
174,Juterbog,DE,51.9833,13.0833,45.7,93,48,4.88,scattered clouds
175,Saint Anthony,US,45.0205,-93.218,53.26,48,1,1.01,clear sky
176,Hambantota,LK,6.1241,81.1185,77.34,100,20,6.91,few clouds
177,Canatlan,MX,24.5167,-104.7833,77.65,21,0,7.67,clear sky
178,Albanel,CA,48.8832,-72.4487,40.98,64,100,3.44,overcast clouds
179,Hualmay,PE,-11.0964,-77.6139,65.93,76,10,11.72,clear sky
180,Sur,OM,22.5667,59.5289,80.71,64,0,9.82,clear sky
181,Umm Kaddadah,SD,13.6017,26.6876,86.43,19,34,16.26,scattered clouds
182,Fortuna,US,40.5982,-124.1573,63.86,78,75,11.01,broken clouds
183,Honiara,SB,-9.4333,159.95,84.94,63,47,0.45,scattered clouds
184,Yershov,RU,51.3513,48.2766,52.77,90,100,10.89,light rain
185,Karangsembung,ID,-6.8487,108.6422,78.17,84,94,4.79,overcast clouds
186,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,56,40,12.66,scattered clouds
187,Muzhi,RU,65.3667,64.6667,28.99,76,81,20.29,broken clouds
188,Moron,AR,-34.6534,-58.6198,71.35,44,32,6.49,scattered clouds
189,Klaksvik,FO,62.2266,-6.589,50.92,86,66,16.6,broken clouds
190,Avera,US,33.194,-82.5271,78.67,48,0,2.8,clear sky
191,Portland,US,45.5234,-122.6762,56.37,94,90,1.99,mist
192,Beringovskiy,RU,63.05,179.3167,12.06,76,4,9.73,clear sky
193,Havoysund,NO,70.9963,24.6622,32.88,54,100,19.86,overcast clouds
194,Sorong,ID,-0.8833,131.25,80.17,80,100,8.37,overcast clouds
195,Mackay,AU,-21.15,149.2,80.69,78,90,3.44,overcast clouds
196,Aneho,TG,6.2333,1.6,79.0,85,100,6.13,overcast clouds
197,Leningradskiy,RU,69.3833,178.4167,10.18,90,100,8.72,overcast clouds
198,Sibu,MY,2.3,111.8167,73.26,99,98,2.28,overcast clouds
199,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,75,12.66,broken clouds
200,Dolzhanskaya,RU,46.6311,37.8039,52.92,89,100,4.61,overcast clouds
201,Rochegda,RU,62.8,43.25,28.76,92,59,3.94,broken clouds
202,Port Shepstone,ZA,-30.7414,30.455,66.07,69,38,30.87,scattered clouds
203,Sola,VU,-13.8833,167.55,84.87,74,75,8.05,broken clouds
204,Pericos,MX,25.05,-107.7,94.37,41,0,10.2,clear sky
205,Marsaxlokk,MT,35.8419,14.5431,72.21,94,40,11.5,mist
206,Khvastovichi,RU,53.4694,35.0941,37.54,74,100,11.59,overcast clouds
207,Qaqortoq,GL,60.7167,-46.0333,34.3,73,36,1.03,scattered clouds
208,Bairiki,KI,1.3292,172.9752,84.2,61,75,4.61,broken clouds
209,Rio Grande,BR,-32.035,-52.0986,60.91,94,100,5.17,overcast clouds
210,Kalabo,ZM,-14.97,22.6814,78.39,46,81,3.4,broken clouds
211,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,76.19,89,88,1.61,overcast clouds
212,Jiazi,CN,22.8779,116.067,65.97,77,87,8.9,overcast clouds
213,Salym,RU,60.0625,71.4789,41.58,78,95,13.11,overcast clouds
214,Nsanje,MW,-16.92,35.262,80.35,53,1,3.98,clear sky
215,Nioro,GM,13.35,-15.75,81.37,51,74,3.02,broken clouds
216,Jerome,US,42.7241,-114.5186,56.23,46,20,12.66,few clouds
217,Arak,IR,34.0917,49.6892,50.0,32,0,3.56,clear sky
218,Lompoc,US,34.6391,-120.4579,73.69,64,1,20.71,clear sky
219,Ashland,US,40.8167,-82.2665,54.14,74,100,5.03,overcast clouds
220,Namatanai,PG,-3.6667,152.4333,83.75,70,36,7.25,scattered clouds
221,Fujin,CN,47.26,132.0322,37.9,60,0,7.81,clear sky
222,Ojinaga,MX,29.5667,-104.4167,91.58,31,1,9.22,clear sky
223,Hilo,US,19.7297,-155.09,78.53,79,90,0.0,light rain
224,Shimoda,JP,34.6667,138.95,54.1,67,93,9.57,overcast clouds
225,Santa Rita,BR,-7.1139,-34.9781,81.27,78,20,8.05,few clouds
226,Severo-Kurilsk,RU,50.6789,156.125,40.55,76,80,10.45,broken clouds
227,Georgetown,MY,5.4112,100.3354,79.9,92,20,3.0,few clouds
228,Ilulissat,GL,69.2167,-51.1,21.22,79,90,19.57,overcast clouds
229,Taltal,CL,-25.4,-70.4833,60.89,71,21,8.1,few clouds
230,Batagay-Alyta,RU,67.8006,130.4114,4.33,96,100,2.66,light snow
231,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,79,90,5.75,overcast clouds
232,Swan River,CA,52.1058,-101.2676,40.89,65,63,11.5,broken clouds
233,Esperance,AU,-33.8667,121.9,51.64,64,30,17.54,scattered clouds
234,Uvira,CD,-3.4067,29.1458,75.81,71,15,5.14,few clouds
235,Mirabad,AF,30.4362,61.8383,58.37,25,0,10.2,clear sky
236,Gizo,SB,-8.103,156.8419,83.95,73,39,13.91,scattered clouds
